Date,Players,Effective,owner,owner_id,transaction_str,player_id,cbsid,parsed_transactions,transaction_type,period,Add,Drop,Drop Week,type,PA,AB,H,R,RBI,HR,SB,BA,IP,Outs,QS,SO,SvHld,ERA,WHIP,ER,HA,BB,zBA,zR,zHR,zRBI,zSB,zERA,zWHIP,zSO,zQS,zSvHld,total_z,Value,weeks_held
9/22/25 6:30 AM ET,"('Trey Yesavage SP • TOR - Added Ian Seymour SP,RP • TB - Dropped', '/players/playerpage/29426049')",9/22/25,Trouble With The Curve,1,"Trey Yesavage SP • TOR - Added Ian Seymour SP,RP • TB - Dropped",/players/playerpage/29426049,29426049,"[{'Name': 'Trey Yesavage', 'Position': 'SP', 'Team': 'TOR', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Ian Seymour', 'Position': 'SP,RP', 'Team': 'TB', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,27,Trey Yesavage,Ian Seymour,28.0,p,,,,,,,,,9.0,81.0,0.0,11.0,0.0,5.0,1.4444444444444444,5.0,8.0,5.0,,,,,,-0.5102387934627417,-0.614718365918327,2.3057404173126006,-0.39711679077949397,-0.5516269734627195,0.23203949368931864,0.7,1.0
9/21/25 11:53 PM ET,"('Xavier Edwards 2B,SS • MIA - Added David Hamilton 2B,SS • MIL - Dropped', '/players/playerpage/2931936')",9/22/25,Harveys Wallbangers,4,"Xavier Edwards 2B,SS • MIA - Added David Hamilton 2B,SS • MIL - Dropped",/players/playerpage/2931936,2931936,"[{'Name': 'Xavier Edwards', 'Position': '2B,SS', 'Team': 'MIA', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'David Hamilton', 'Position': '2B,SS', 'Team': 'MIL', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,27,Xavier Edwards,David Hamilton,28.0,h,12.0,12.0,4.0,1.0,1.0,0.0,2.0,0.3333333333333333,,,,,,,,,,,0.6234409569667141,-0.5811669560661076,-0.6845171656253491,-0.48431830080846827,2.2180502931909962,,,,,,1.0914888276577854,3.4,1.0
9/21/25 11:42 PM ET,"('Jameson Taillon SP • CHC - Added Matt Wallner OF • MIN - Dropped', '/players/playerpage/1765806')",9/22/25,Brewbirds,3,Jameson Taillon SP • CHC - Added Matt Wallner OF • MIN - Dropped,/players/playerpage/1765806,1765806,"[{'Name': 'Jameson Taillon', 'Position': 'SP', 'Team': 'CHC', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Matt Wallner', 'Position': 'OF', 'Team': 'MIN', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,27,Jameson Taillon,Matt Wallner,28.0,p,,,,,,,,,13.0,117.0,2.0,7.0,0.0,0.6923076923076923,0.6923076923076923,1.0,7.0,2.0,,,,,,2.3611894351216316,2.4049448827444904,1.0145257836175443,4.874950948879306,-0.5516269734627195,10.103984076900252,31.1,1.0
9/21/25 11:42 PM ET,"('Joey Cantillo SP,RP • CLE - Added Nick Martinez SP,RP • TB - Dropped', '/players/playerpage/2836690')",9/22/25,Mom's Cookin,47,"Joey Cantillo SP,RP • CLE - Added Nick Martinez SP,RP • TB - Dropped",/players/playerpage/2836690,2836690,"[{'Name': 'Joey Cantillo', 'Position': 'SP,RP', 'Team': 'CLE', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Nick Martinez', 'Position': 'SP,RP', 'Team': 'TB', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,27,Joey Cantillo,Nick Martinez,28.0,p,,,,,,,,,9.33,83.97,0.0,8.0,0.0,1.9292604501607717,1.2861736334405145,2.0,8.0,4.0,,,,,,1.0561142255216223,-0.13995961824344144,1.3373294420413082,-0.39711679077949397,-0.5516269734627195,1.3047402850772758,4.0,1.0
9/21/25 11:41 PM ET,"('Matt Brash RP • SEA - Added Chris Bassitt SP,RP • BAL - Dropped', '/players/playerpage/26757032')",9/22/25,Charmer,36,"Matt Brash RP • SEA - Added Chris Bassitt SP,RP • BAL - Dropped",/players/playerpage/26757032,26757032,"[{'Name': 'Matt Brash', 'Position': 'RP', 'Team': 'SEA', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Chris Bassitt', 'Position': 'SP,RP', 'Team': 'BAL', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,27,Matt Brash,Chris Bassitt,28.0,p,,,,,,,,,2.67,24.03,0.0,2.0,0.0,13.483146067415731,2.247191011235955,4.0,5.0,1.0,,,,,,-1.404482506911107,-0.9041788295085605,-0.5994925085012762,-0.39711679077949397,-0.5516269734627195,-3.8568976091631573,-11.9,1.0
9/21/25 11:41 PM ET,"('Michael McGreevy SP,RP • STL - Added Jacob Lopez SP,RP • ATH - Dropped', '/players/playerpage/26719613')",9/22/25,Lil Trumps Wiscompton Wu-Tang,42,"Michael McGreevy SP,RP • STL - Added Jacob Lopez SP,RP • ATH - Dropped",/players/playerpage/26719613,26719613,"[{'Name': 'Michael McGreevy', 'Position': 'SP,RP', 'Team': 'STL', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Jacob Lopez', 'Position': 'SP,RP', 'Team': 'ATH', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,27,Michael McGreevy,Jacob Lopez,28.0,p,,,,,,,,,7.0,63.0,1.0,6.0,0.0,0.0,0.8571428571428571,0.0,3.0,3.0,,,,,,1.5395232461338624,0.9063884678724001,0.6917221251937802,2.2389170790499056,-0.5516269734627195,4.82492394478723,14.9,1.0
9/15/25 11:32 AM ET,"('Patrick Bailey C • SF - Added Xavier Edwards 2B,SS • MIA - Dropped', '/players/playerpage/2836560')",9/15/25,Lima Time!,38,"Patrick Bailey C • SF - Added Xavier Edwards 2B,SS • MIA - Dropped",/players/playerpage/2836560,2836560,"[{'Name': 'Patrick Bailey', 'Position': 'C', 'Team': 'SF', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Xavier Edwards', 'Position': '2B,SS', 'Team': 'MIA', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,26,Patrick Bailey,Xavier Edwards,28.0,h,36.0,36.0,9.0,6.0,10.0,3.0,0.0,0.25,,,,,,,,,,,0.1256358126153043,0.7341572018417368,1.6700091672509312,2.049840379126819,-0.5777000724747866,,,,,,4.001942488360005,11.3,2.0
9/15/25 6:25 AM ET,"('Andrew Benintendi OF • CHW - Added Dustin May SP,RP • STL - Dropped', '/players/playerpage/2184354')",9/15/25,Trouble With The Curve,1,"Andrew Benintendi OF • CHW - Added Dustin May SP,RP • STL - Dropped",/players/playerpage/2184354,2184354,"[{'Name': 'Andrew Benintendi', 'Position': 'OF', 'Team': 'CHW', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Dustin May', 'Position': 'SP,RP', 'Team': 'STL', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,26,Andrew Benintendi,Dustin May,28.0,h,24.0,24.0,3.0,2.0,5.0,2.0,0.0,0.125,,,,,,,,,,,-1.1722952345004705,-0.6122041782799866,0.8237621718508266,0.4140772392684861,-0.5777000724747866,,,,,,-1.124360074135931,-3.2,2.0
9/15/25 12:17 AM ET,"('Jared Triolo 1B,2B,3B,SS • PIT - Added Masyn Winn SS • STL - Dropped', '/players/playerpage/3152102')",9/15/25,Harveys Wallbangers,4,"Jared Triolo 1B,2B,3B,SS • PIT - Added Masyn Winn SS • STL - Dropped",/players/playerpage/3152102,3152102,"[{'Name': 'Jared Triolo', 'Position': '1B,2B,3B,SS', 'Team': 'PIT', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Masyn Winn', 'Position': 'SS', 'Team': 'STL', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,26,Jared Triolo,Masyn Winn,28.0,h,52.0,52.0,14.0,8.0,4.0,2.0,2.0,0.2692307692307692,,,,,,,,,,,0.6001580991923308,1.4073378919025987,0.8237621718508266,0.08692461129681957,1.1554001449495734,,,,,,4.073582919192148,11.5,2.0
9/15/25 12:15 AM ET,"('Connelly Early SP • BOS - Added Brady House 3B • WAS - Dropped', '/players/playerpage/29658250')",9/15/25,Brewbirds,3,Connelly Early SP • BOS - Added Brady House 3B • WAS - Dropped,/players/playerpage/29658250,29658250,"[{'Name': 'Connelly Early', 'Position': 'SP', 'Team': 'BOS', 'Transaction': 'Added', 'Trade_Partner': None}, {'Name': 'Brady House', 'Position': '3B', 'Team': 'WAS', 'Transaction': 'Dropped', 'Trade_Partner': None}]",Add/Drop,26,Connelly Early,Brady House,28.0,p,,,,,,,,,14.33,128.97,0.0,22.0,0.0,1.884159106769016,1.1165387299371947,3.0,13.0,3.0,,,,,,1.2844022332787688,0.41285652537935696,2.807998298930293,-0.4697920225833138,-0.5986672112676474,3.4367978237374572,9.7,2.0
