Date,Players,Effective,owner,owner_id,transaction_str,player_id,cbsid,parsed_transactions,transaction_type,period,Add,Drop
8/9/25 6:00 PM ET,"('Mitch Keller SP • PIT - Traded from Trouble With The Curve', '/players/playerpage/2167302')",8/11/25,9 Grand Kids,30,Mitch Keller SP • PIT - Traded from Trouble With The Curve,/players/playerpage/2167302,2167302,"[{'Name': 'Mitch Keller', 'Position': 'SP', 'Team': 'PIT', 'Transaction': 'Traded', 'Trade_Partner': 'Trouble With The Curve'}]",Trade,21,,
8/9/25 6:00 PM ET,"('Will Vest RP • DET - Traded from 9 Grand Kids', '/players/playerpage/2837636')",8/11/25,Trouble With The Curve,1,Will Vest RP • DET - Traded from 9 Grand Kids,/players/playerpage/2837636,2837636,"[{'Name': 'Will Vest', 'Position': 'RP', 'Team': 'DET', 'Transaction': 'Traded', 'Trade_Partner': '9 Grand Kids'}]",Trade,21,,
7/17/25 10:43 PM ET,"('Julio Rodriguez OF • SEA - Traded from Dirty Birds Kirby Yates RP • LAA - Traded from Dirty Birds', '/players/playerpage/2825528')",7/14/25,Harveys Wallbangers,4,Julio Rodriguez OF • SEA - Traded from Dirty Birds Kirby Yates RP • LAA - Traded from Dirty Birds,/players/playerpage/2825528,2825528,"[{'Name': 'Julio Rodriguez', 'Position': 'OF', 'Team': 'SEA', 'Transaction': 'Traded', 'Trade_Partner': 'Dirty Birds'}, {'Name': 'Kirby Yates', 'Position': 'RP', 'Team': 'LAA', 'Transaction': 'Traded', 'Trade_Partner': 'Dirty Birds'}]",Trade,17,,
7/17/25 10:43 PM ET,"('Heliot Ramos OF • SF - Traded from Harveys Wallbangers Nick Lodolo SP,RP • CIN - Traded from Harveys Wallbangers', '/players/playerpage/2835071')",7/14/25,Dirty Birds,41,"Heliot Ramos OF • SF - Traded from Harveys Wallbangers Nick Lodolo SP,RP • CIN - Traded from Harveys Wallbangers",/players/playerpage/2835071,2835071,"[{'Name': 'Heliot Ramos', 'Position': 'OF', 'Team': 'SF', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Nick Lodolo', 'Position': 'SP,RP', 'Team': 'CIN', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}]",Trade,17,,
6/28/25 6:50 PM ET,"('Eury Perez SP • MIA - Traded from Lima Time! Christian Yelich OF • MIL - Traded from Lima Time! Sandy Alcantara SP • MIA - Traded from Lima Time!', '/players/playerpage/26912478')",6/30/25,Harveys Wallbangers,4,Eury Perez SP • MIA - Traded from Lima Time! Christian Yelich OF • MIL - Traded from Lima Time! Sandy Alcantara SP • MIA - Traded from Lima Time!,/players/playerpage/26912478,26912478,"[{'Name': 'Eury Perez', 'Position': 'SP', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}, {'Name': 'Christian Yelich', 'Position': 'OF', 'Team': 'MIL', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}, {'Name': 'Sandy Alcantara', 'Position': 'SP', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Lima Time!'}]",Trade,15,,
6/28/25 6:50 PM ET,"('Tommy Kahnle RP • DET - Traded from Harveys Wallbangers Xavier Edwards 2B,SS • MIA - Traded from Harveys Wallbangers Max Fried SP • NYY - Traded from Harveys Wallbangers', '/players/playerpage/2040766')",6/30/25,Lima Time!,38,"Tommy Kahnle RP • DET - Traded from Harveys Wallbangers Xavier Edwards 2B,SS • MIA - Traded from Harveys Wallbangers Max Fried SP • NYY - Traded from Harveys Wallbangers",/players/playerpage/2040766,2040766,"[{'Name': 'Tommy Kahnle', 'Position': 'RP', 'Team': 'DET', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Xavier Edwards', 'Position': '2B,SS', 'Team': 'MIA', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}, {'Name': 'Max Fried', 'Position': 'SP', 'Team': 'NYY', 'Transaction': 'Traded', 'Trade_Partner': 'Harveys Wallbangers'}]",Trade,15,,
6/25/25 4:43 PM ET,"('Paul Skenes SP • PIT - Traded from Ugly Spuds Jarren Duran OF • BOS - Traded from Ugly Spuds', '/players/playerpage/29153541')",6/30/25,Lil Trumps Wiscompton Wu-Tang,42,Paul Skenes SP • PIT - Traded from Ugly Spuds Jarren Duran OF • BOS - Traded from Ugly Spuds,/players/playerpage/29153541,29153541,"[{'Name': 'Paul Skenes', 'Position': 'SP', 'Team': 'PIT', 'Transaction': 'Traded', 'Trade_Partner': 'Ugly Spuds'}, {'Name': 'Jarren Duran', 'Position': 'OF', 'Team': 'BOS', 'Transaction': 'Traded', 'Trade_Partner': 'Ugly Spuds'}]",Trade,15,,
6/25/25 4:43 PM ET,"('Hunter Goodman C • COL - Traded from Lil Trumps Wiscompton Wu-Tang Freddie Freeman 1B • LAD - Traded from Lil Trumps Wiscompton Wu-Tang', '/players/playerpage/26911639')",6/30/25,Ugly Spuds,29,Hunter Goodman C • COL - Traded from Lil Trumps Wiscompton Wu-Tang Freddie Freeman 1B • LAD - Traded from Lil Trumps Wiscompton Wu-Tang,/players/playerpage/26911639,26911639,"[{'Name': 'Hunter Goodman', 'Position': 'C', 'Team': 'COL', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}, {'Name': 'Freddie Freeman', 'Position': '1B', 'Team': 'LAD', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}]",Trade,15,,
6/23/25 6:34 AM ET,"('Reese Olson SP • DET - Traded from Charmer', '/players/playerpage/2932983')",6/23/25,Lil Trumps Wiscompton Wu-Tang,42,Reese Olson SP • DET - Traded from Charmer,/players/playerpage/2932983,2932983,"[{'Name': 'Reese Olson', 'Position': 'SP', 'Team': 'DET', 'Transaction': 'Traded', 'Trade_Partner': 'Charmer'}]",Trade,14,,
6/23/25 6:34 AM ET,"('Noelvi Marte 3B,OF • CIN - Traded from Lil Trumps Wiscompton Wu-Tang Royce Lewis 3B • MIN - Traded from Lil Trumps Wiscompton Wu-Tang', '/players/playerpage/3077711')",6/23/25,Charmer,36,"Noelvi Marte 3B,OF • CIN - Traded from Lil Trumps Wiscompton Wu-Tang Royce Lewis 3B • MIN - Traded from Lil Trumps Wiscompton Wu-Tang",/players/playerpage/3077711,3077711,"[{'Name': 'Noelvi Marte', 'Position': '3B,OF', 'Team': 'CIN', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}, {'Name': 'Royce Lewis', 'Position': '3B', 'Team': 'MIN', 'Transaction': 'Traded', 'Trade_Partner': 'Lil Trumps Wiscompton Wu-Tang'}]",Trade,14,,
